date,Avg. wind,wind gusts
2018-5-24-10-2,4,8
2018-5-24-10-7,1,7
2018-5-24-10-12,1,8
2018-5-24-10-17,7,9
2018-5-24-10-22,7,9
2018-5-24-10-27,1,7
2018-5-24-10-32,0,3
2018-5-24-10-37,2,7
2018-5-24-10-42,0,5
2018-5-24-10-47,0,5
2018-5-24-10-52,0,6
2018-5-24-10-57,0,1
2018-5-24-11-2,8,9
2018-5-24-11-7,4,10
2018-5-24-11-12,5,8
2018-5-24-11-17,7,8
2018-5-24-11-22,1,9
2018-5-24-11-27,3,8
2018-5-24-11-32,5,9
2018-5-24-11-37,9,10
2018-5-24-11-42,9,11
2018-5-24-11-47,5,10
2018-5-24-11-52,0,8
2018-5-24-11-57,2,8
2018-5-24-12-2,5,10
2018-5-24-12-7,5,11
2018-5-24-12-12,9,12
2018-5-24-12-17,1,7
2018-5-24-12-22,0,5
2018-5-24-12-27,9,10
2018-5-24-12-32,12,16
2018-5-24-12-37,9,13
2018-5-24-12-42,3,10
2018-5-24-12-47,12,14
2018-5-24-12-52,10,13
2018-5-24-12-57,6,11
2018-5-24-13-2,7,9
2018-5-24-13-7,0,8
2018-5-24-13-12,2,5
2018-5-24-13-17,10,12
2018-5-24-13-22,9,11
2018-5-24-13-27,6,11
2018-5-24-13-32,6,10
2018-5-24-13-37,8,10
2018-5-24-13-42,4,11
2018-5-24-13-47,10,12
2018-5-24-13-52,5,10
2018-5-24-13-57,3,8
2018-5-24-14-2,1,4
2018-5-24-14-7,0,4
2018-5-24-14-12,0,0
2018-5-24-14-17,0,0
2018-5-24-14-22,0,0
2018-5-24-14-27,5,8
2018-5-24-14-32,2,7
2018-5-24-14-37,0,1
2018-5-24-14-42,0,0
2018-5-24-14-47,1,5
2018-5-24-14-52,0,3
2018-5-24-14-57,1,6
2018-5-24-15-2,0,5
2018-5-24-15-7,0,0
2018-5-24-15-12,5,11
2018-5-24-15-17,12,14
2018-5-24-15-22,10,15
2018-5-24-15-27,11,15
2018-5-24-15-32,12,17
2018-5-24-15-37,6,14
2018-5-24-15-42,8,13
2018-5-24-15-47,12,14
2018-5-24-15-52,6,13
2018-5-24-15-57,5,11
2018-5-24-16-2,8,13
2018-5-24-16-7,14,18
2018-5-24-16-12,9,17
2018-5-24-16-17,14,18
2018-5-24-16-22,9,16
2018-5-24-16-27,8,15
2018-5-24-16-32,10,14
2018-5-24-16-37,7,12
2018-5-24-16-42,7,10
2018-5-24-16-47,7,12
2018-5-24-16-52,4,9
2018-5-24-16-57,2,9
2018-5-24-17-2,1,5
2018-5-24-17-7,0,6
2018-5-24-17-12,5,11
2018-5-24-17-17,4,12
2018-5-24-17-22,0,1
2018-5-24-17-27,1,6
2018-5-24-17-32,1,5
2018-5-24-17-37,0,1
2018-5-24-17-42,7,10
2018-5-24-17-47,0,10
2018-5-24-17-52,0,6
2018-5-24-17-57,0,4
2018-5-24-18-2,1,6
2018-5-24-18-7,2,7
2018-5-24-18-12,0,8
2018-5-24-18-17,1,5
2018-5-24-18-22,0,5
2018-5-24-18-27,0,0
2018-5-24-18-32,0,0
2018-5-24-18-37,0,4
2018-5-24-18-42,0,3
2018-5-24-18-47,0,0
2018-5-24-18-52,0,0
2018-5-24-18-57,0,0
2018-5-24-19-2,0,0
2018-5-24-19-7,8,11
2018-5-24-19-12,4,11
2018-5-24-19-17,5,9
2018-5-24-19-22,1,7
2018-5-24-19-27,1,6
2018-5-24-19-32,4,9
2018-5-24-19-37,10,10
2018-5-24-19-42,9,11
2018-5-24-19-47,10,11
2018-5-24-19-52,8,11
2018-5-24-19-57,7,11
