date,Avg. wind,wind gusts
2018-5-7-10-3,9,25
2018-5-7-10-8,12,18
2018-5-7-10-13,13,20
2018-5-7-10-18,13,25
2018-5-7-10-23,10,22
2018-5-7-10-28,11,20
2018-5-7-10-33,13,21
2018-5-7-10-38,11,20
2018-5-7-10-43,13,21
2018-5-7-10-48,16,25
2018-5-7-10-53,15,22
2018-5-7-10-58,12,23
2018-5-7-11-3,11,23
2018-5-7-11-8,12,19
2018-5-7-11-13,13,19
2018-5-7-11-18,13,21
2018-5-7-11-23,14,22
2018-5-7-11-28,15,23
2018-5-7-11-33,14,26
2018-5-7-11-38,15,22
2018-5-7-11-43,12,21
2018-5-7-11-48,12,19
2018-5-7-11-53,12,22
2018-5-7-11-58,13,24
2018-5-7-12-3,11,21
2018-5-7-12-8,12,21
2018-5-7-12-13,10,21
2018-5-7-12-18,12,21
2018-5-7-12-23,8,17
2018-5-7-12-28,8,17
2018-5-7-12-33,9,16
2018-5-7-12-38,11,22
2018-5-7-12-43,10,17
2018-5-7-12-48,6,13
2018-5-7-12-53,11,17
2018-5-7-12-58,9,13
2018-5-7-13-3,8,15
2018-5-7-13-8,10,16
2018-5-7-13-13,8,17
2018-5-7-13-18,10,17
2018-5-7-13-23,11,19
2018-5-7-13-28,12,18
2018-5-7-13-33,12,17
2018-5-7-13-38,13,18
2018-5-7-13-43,11,15
2018-5-7-13-48,10,18
2018-5-7-13-53,11,16
2018-5-7-13-58,10,15
2018-5-7-14-3,9,15
2018-5-7-14-8,11,19
2018-5-7-14-13,10,16
2018-5-7-14-18,7,14
2018-5-7-14-23,9,14
2018-5-7-14-28,7,14
2018-5-7-14-33,10,16
2018-5-7-14-38,7,14
2018-5-7-14-43,8,16
2018-5-7-14-48,9,15
2018-5-7-14-53,7,12
2018-5-7-14-58,13,16
2018-5-7-15-3,10,16
2018-5-7-15-8,11,16
2018-5-7-15-13,12,15
2018-5-7-15-18,10,16
2018-5-7-15-23,10,16
2018-5-7-15-28,8,17
2018-5-7-15-33,10,14
2018-5-7-15-38,9,18
2018-5-7-15-43,11,19
2018-5-7-15-48,14,17
2018-5-7-15-53,9,15
2018-5-7-15-58,11,18
2018-5-7-16-3,10,16
2018-5-7-16-8,9,15
2018-5-7-16-13,10,13
2018-5-7-16-18,11,15
2018-5-7-16-23,10,17
2018-5-7-16-28,11,16
2018-5-7-16-33,9,14
2018-5-7-16-38,9,15
2018-5-7-16-43,9,16
2018-5-7-16-48,10,17
2018-5-7-16-53,11,15
2018-5-7-16-58,9,16
2018-5-7-17-3,9,15
2018-5-7-17-8,10,15
2018-5-7-17-13,12,16
2018-5-7-17-18,10,15
2018-5-7-17-23,9,14
2018-5-7-17-28,8,15
2018-5-7-17-33,9,15
2018-5-7-17-38,10,16
2018-5-7-17-43,11,16
2018-5-7-17-48,10,15
2018-5-7-17-53,9,15
2018-5-7-17-58,10,17
2018-5-7-18-3,11,15
2018-5-7-18-8,10,14
2018-5-7-18-13,11,16
2018-5-7-18-18,12,17
2018-5-7-18-23,10,17
2018-5-7-18-28,10,15
2018-5-7-18-33,12,19
2018-5-7-18-38,9,15
2018-5-7-18-43,9,16
2018-5-7-18-48,11,16
2018-5-7-18-53,9,17
2018-5-7-18-58,9,13
