date,Avg. wind,wind gusts
2018-7-11-10-1,5,9
2018-7-11-10-6,5,6
2018-7-11-10-11,5,6
2018-7-11-10-16,6,8
2018-7-11-10-21,5,7
2018-7-11-10-26,6,10
2018-7-11-10-31,6,9
2018-7-11-10-36,6,8
2018-7-11-10-41,6,9
2018-7-11-10-46,6,9
2018-7-11-10-51,6,8
2018-7-11-10-56,5,11
2018-7-11-11-1,6,9
2018-7-11-11-6,6,10
2018-7-11-11-11,7,9
2018-7-11-11-16,6,8
2018-7-11-11-21,7,11
2018-7-11-11-26,6,10
2018-7-11-11-31,6,8
2018-7-11-11-36,6,9
2018-7-11-11-41,6,9
2018-7-11-11-46,6,9
2018-7-11-11-51,8,12
2018-7-11-11-56,8,12
2018-7-11-12-1,6,10
2018-7-11-12-6,7,10
2018-7-11-12-11,8,11
2018-7-11-12-16,7,10
2018-7-11-12-21,5,8
2018-7-11-12-26,8,9
2018-7-11-12-31,7,10
2018-7-11-12-36,5,10
2018-7-11-12-41,5,7
2018-7-11-12-46,5,7
2018-7-11-12-51,7,10
2018-7-11-12-56,6,10
2018-7-11-13-1,8,11
2018-7-11-13-6,6,11
2018-7-11-13-11,8,11
2018-7-11-13-16,7,11
2018-7-11-13-21,7,11
2018-7-11-13-26,8,10
2018-7-11-13-31,5,12
2018-7-11-13-36,6,10
2018-7-11-13-41,8,12
2018-7-11-13-46,6,10
2018-7-11-13-51,8,13
2018-7-11-13-56,7,12
2018-7-11-14-1,10,12
2018-7-11-14-6,7,13
2018-7-11-14-11,11,14
2018-7-11-14-16,9,12
2018-7-11-14-21,11,15
2018-7-11-14-26,8,13
2018-7-11-14-31,9,15
2018-7-11-14-36,8,13
2018-7-11-14-41,10,12
2018-7-11-14-46,8,14
2018-7-11-14-51,9,15
2018-7-11-14-56,12,15
2018-7-11-15-1,10,15
2018-7-11-15-6,11,14
2018-7-11-15-11,12,18
2018-7-11-15-16,10,15
2018-7-11-15-22,9,17
2018-7-11-15-27,8,14
2018-7-11-15-32,8,14
2018-7-11-15-37,13,16
2018-7-11-15-42,11,16
2018-7-11-15-47,14,17
2018-7-11-15-52,12,17
2018-7-11-15-57,8,15
2018-7-11-16-2,7,15
2018-7-11-16-7,10,14
2018-7-11-16-12,10,13
2018-7-11-16-17,11,15
2018-7-11-16-22,12,17
2018-7-11-16-27,7,12
2018-7-11-16-32,11,15
2018-7-11-16-37,10,15
2018-7-11-16-42,12,16
2018-7-11-16-47,7,17
2018-7-11-16-52,7,13
2018-7-11-16-57,9,14
2018-7-11-17-2,8,13
2018-7-11-17-7,8,13
2018-7-11-17-12,9,13
2018-7-11-17-17,11,15
2018-7-11-17-22,11,15
2018-7-11-17-27,12,15
2018-7-11-17-32,11,15
2018-7-11-17-37,12,17
2018-7-11-17-42,11,17
2018-7-11-17-47,9,16
2018-7-11-17-52,11,15
2018-7-11-17-57,12,16
2018-7-11-18-2,12,16
2018-7-11-18-7,13,17
2018-7-11-18-12,14,17
2018-7-11-18-17,15,18
2018-7-11-18-22,16,20
2018-7-11-18-27,14,19
2018-7-11-18-32,15,19
2018-7-11-18-37,13,17
2018-7-11-18-42,16,19
2018-7-11-18-47,13,19
2018-7-11-18-52,14,19
2018-7-11-18-57,13,18
2018-7-11-19-2,15,19
2018-7-11-19-7,13,16
2018-7-11-19-12,15,19
2018-7-11-19-17,14,18
2018-7-11-19-22,15,19
2018-7-11-19-27,15,19
2018-7-11-19-32,15,18
2018-7-11-19-37,15,18
2018-7-11-19-42,13,18
2018-7-11-19-47,13,16
2018-7-11-19-52,14,17
2018-7-11-19-57,14,17
