date,Avg. wind,wind gusts
2018-7-10-10-2,6,10
2018-7-10-10-7,5,7
2018-7-10-10-12,6,7
2018-7-10-10-17,4,7
2018-7-10-10-22,4,7
2018-7-10-10-27,6,9
2018-7-10-10-32,6,10
2018-7-10-10-37,5,7
2018-7-10-10-42,4,5
2018-7-10-10-47,7,8
2018-7-10-10-52,6,9
2018-7-10-10-57,6,10
2018-7-10-11-2,6,7
2018-7-10-11-7,7,8
2018-7-10-11-12,6,8
2018-7-10-11-17,7,10
2018-7-10-11-22,6,9
2018-7-10-11-27,6,8
2018-7-10-11-32,6,12
2018-7-10-11-37,8,10
2018-7-10-11-42,8,11
2018-7-10-11-47,7,10
2018-7-10-11-52,8,13
2018-7-10-11-57,9,13
2018-7-10-12-2,9,12
2018-7-10-12-7,7,12
2018-7-10-12-12,9,11
2018-7-10-12-17,8,13
2018-7-10-12-22,9,13
2018-7-10-12-27,9,13
2018-7-10-12-32,11,14
2018-7-10-12-37,9,12
2018-7-10-12-42,9,15
2018-7-10-12-47,10,16
2018-7-10-12-52,7,13
2018-7-10-12-57,9,13
2018-7-10-13-2,10,14
2018-7-10-13-7,9,11
2018-7-10-13-12,11,15
2018-7-10-13-17,10,15
2018-7-10-13-22,9,15
2018-7-10-13-27,11,16
2018-7-10-13-32,10,17
2018-7-10-13-37,11,15
2018-7-10-13-42,11,17
2018-7-10-13-47,14,19
2018-7-10-13-52,13,18
2018-7-10-13-57,12,18
2018-7-10-14-2,12,17
2018-7-10-14-7,12,15
2018-7-10-14-12,12,16
2018-7-10-14-17,14,16
2018-7-10-14-22,10,13
2018-7-10-14-27,12,15
2018-7-10-14-32,10,14
2018-7-10-14-37,12,14
2018-7-10-14-42,11,14
2018-7-10-14-47,9,13
2018-7-10-14-52,10,11
2018-7-10-14-57,11,14
2018-7-10-15-2,10,12
2018-7-10-15-7,10,12
2018-7-10-15-12,11,15
2018-7-10-15-17,11,13
2018-7-10-15-22,10,12
2018-7-10-15-27,10,13
2018-7-10-15-32,11,13
2018-7-10-15-37,12,14
2018-7-10-15-42,11,14
2018-7-10-15-47,13,16
2018-7-10-15-52,12,16
2018-7-10-15-57,13,15
2018-7-10-16-2,11,15
2018-7-10-16-7,11,15
2018-7-10-16-12,10,16
2018-7-10-16-17,11,14
2018-7-10-16-22,12,14
2018-7-10-16-27,11,13
2018-7-10-16-32,11,13
2018-7-10-16-37,11,14
2018-7-10-16-42,12,14
2018-7-10-16-47,13,16
2018-7-10-16-52,12,15
2018-7-10-16-57,13,16
2018-7-10-17-2,11,14
2018-7-10-17-7,11,14
2018-7-10-17-14,9,11
2018-7-10-17-19,11,14
2018-7-10-17-25,13,16
2018-7-10-17-30,12,16
2018-7-10-17-35,12,15
2018-7-10-17-40,12,15
2018-7-10-17-45,12,15
2018-7-10-17-50,13,16
2018-7-10-17-55,14,17
2018-7-10-18-0,13,17
2018-7-10-18-5,13,17
2018-7-10-18-10,15,19
2018-7-10-18-15,16,19
2018-7-10-18-20,15,19
2018-7-10-18-25,16,19
2018-7-10-18-30,13,19
2018-7-10-18-35,14,19
2018-7-10-18-40,12,16
2018-7-10-18-45,14,17
2018-7-10-18-50,13,16
2018-7-10-18-55,13,17
2018-7-10-19-0,13,17
2018-7-10-19-5,12,16
2018-7-10-19-10,13,16
2018-7-10-19-15,13,16
2018-7-10-19-20,13,16
2018-7-10-19-25,13,17
2018-7-10-19-30,13,17
2018-7-10-19-35,11,16
2018-7-10-19-40,14,16
2018-7-10-19-45,12,15
2018-7-10-19-50,13,18
2018-7-10-19-55,13,18
