date,Avg. wind,wind gusts
2018-7-7-10-43,8,12
2018-7-7-10-48,9,13
2018-7-7-10-53,8,17
2018-7-7-10-58,9,15
2018-7-7-11-3,3,17
2018-7-7-11-8,7,12
2018-7-7-11-13,6,13
2018-7-7-11-18,9,14
2018-7-7-11-23,8,13
2018-7-7-11-28,6,16
2018-7-7-11-33,5,15
2018-7-7-11-38,8,15
2018-7-7-11-43,9,14
2018-7-7-11-48,9,14
2018-7-7-11-53,6,11
2018-7-7-11-58,9,14
2018-7-7-12-3,11,16
2018-7-7-12-8,10,16
2018-7-7-12-13,12,18
2018-7-7-12-18,8,19
2018-7-7-12-23,12,22
2018-7-7-12-28,12,19
2018-7-7-12-33,13,19
2018-7-7-12-38,13,17
2018-7-7-12-43,15,19
2018-7-7-12-48,12,19
2018-7-7-12-53,13,19
2018-7-7-12-58,10,23
2018-7-7-13-3,11,19
2018-7-7-13-8,12,20
2018-7-7-13-13,15,21
2018-7-7-13-18,8,17
2018-7-7-13-23,10,17
2018-7-7-13-28,10,22
2018-7-7-13-33,16,17
2018-7-7-13-39,10,16
2018-7-7-13-44,12,21
2018-7-7-13-49,14,22
2018-7-7-13-54,12,21
2018-7-7-13-59,12,19
2018-7-7-14-4,15,20
2018-7-7-14-9,13,23
2018-7-7-14-14,15,19
2018-7-7-14-19,12,20
2018-7-7-14-24,12,20
2018-7-7-14-29,16,25
2018-7-7-14-34,12,25
2018-7-7-14-39,16,19
2018-7-7-14-44,11,20
2018-7-7-14-49,12,21
2018-7-7-14-54,14,24
2018-7-7-14-59,14,20
2018-7-7-15-4,14,20
2018-7-7-15-9,15,22
2018-7-7-15-14,16,26
2018-7-7-15-19,15,22
2018-7-7-15-24,17,22
2018-7-7-15-29,14,21
2018-7-7-15-34,12,19
2018-7-7-15-39,13,19
2018-7-7-15-44,16,20
2018-7-7-15-49,16,22
2018-7-7-15-54,13,21
2018-7-7-15-59,18,25
2018-7-7-16-4,16,23
2018-7-7-16-9,13,19
2018-7-7-16-14,15,22
2018-7-7-16-19,15,24
2018-7-7-16-24,12,23
2018-7-7-16-29,15,20
2018-7-7-16-34,14,22
2018-7-7-16-39,16,19
2018-7-7-16-44,17,25
2018-7-7-16-49,16,24
2018-7-7-16-54,16,21
2018-7-7-16-59,15,21
2018-7-7-17-4,16,19
2018-7-7-17-9,13,19
2018-7-7-17-14,17,20
2018-7-7-17-19,14,20
2018-7-7-17-24,13,20
2018-7-7-17-29,13,19
2018-7-7-17-34,14,21
2018-7-7-17-39,13,20
2018-7-7-17-44,12,20
2018-7-7-17-49,13,21
2018-7-7-17-54,14,19
2018-7-7-17-59,12,18
2018-7-7-18-4,13,18
2018-7-7-18-9,12,19
2018-7-7-18-14,11,15
2018-7-7-18-19,13,20
2018-7-7-18-24,15,18
2018-7-7-18-29,11,18
2018-7-7-18-34,13,20
2018-7-7-18-39,13,19
2018-7-7-18-44,15,20
2018-7-7-18-49,17,22
2018-7-7-18-54,13,19
2018-7-7-18-59,15,23
2018-7-7-19-4,17,23
2018-7-7-19-9,14,20
2018-7-7-19-14,17,22
2018-7-7-19-19,15,23
2018-7-7-19-24,17,26
2018-7-7-19-29,16,23
2018-7-7-19-34,15,22
2018-7-7-19-39,17,21
2018-7-7-19-44,16,23
2018-7-7-19-49,16,23
2018-7-7-19-54,16,23
2018-7-7-19-59,14,20
