date,Avg. wind,wind gusts
2018-5-30-16-30,11,14
2018-5-30-16-35,9,14
2018-5-30-16-40,8,12
2018-5-30-16-45,11,13
2018-5-30-16-50,11,13
2018-5-30-16-55,11,14
2018-5-30-17-0,11,14
2018-5-30-17-5,12,15
2018-5-30-17-10,10,14
2018-5-30-17-15,10,15
2018-5-30-17-20,10,12
2018-5-30-17-25,10,15
2018-5-30-17-30,13,15
2018-5-30-17-35,11,15
2018-5-30-17-40,13,16
2018-5-30-17-45,12,16
2018-5-30-17-50,12,15
2018-5-30-17-55,12,17
2018-5-30-18-0,14,17
2018-5-30-18-5,14,17
2018-5-30-18-10,12,16
2018-5-30-18-15,13,16
2018-5-30-18-20,12,16
2018-5-30-18-25,11,15
2018-5-30-18-30,13,16
2018-5-30-18-35,12,15
2018-5-30-18-40,12,15
2018-5-30-18-45,9,15
2018-5-30-18-50,12,15
2018-5-30-18-55,11,17
2018-5-30-19-0,11,14
2018-5-30-19-6,11,14
2018-5-30-19-11,10,14
2018-5-30-19-16,8,12
2018-5-30-19-21,8,12
2018-5-30-19-26,6,13
2018-5-30-19-31,6,11
2018-5-30-19-36,5,9
2018-5-30-19-41,7,11
2018-5-30-19-46,5,10
2018-5-30-19-51,6,11
2018-5-30-19-56,3,9
2018-5-31-10-2,0,0
2018-5-31-10-7,5,7
2018-5-31-10-12,5,7
2018-5-31-10-17,5,6
2018-5-31-10-22,0,5
2018-5-31-10-27,5,8
2018-5-31-10-32,2,7
2018-5-31-10-37,4,7
2018-5-31-10-42,0,5
2018-5-31-10-47,8,8
2018-5-31-10-52,6,10
2018-5-31-10-57,7,12
2018-5-31-11-2,8,11
2018-5-31-11-7,9,12
2018-5-31-11-12,9,12
2018-5-31-11-17,11,12
2018-5-31-11-22,11,12
2018-5-31-11-27,11,13
2018-5-31-11-32,10,12
2018-5-31-11-37,10,11
2018-5-31-11-42,11,12
2018-5-31-11-47,12,13
2018-5-31-11-52,11,13
2018-5-31-11-57,12,13
2018-5-31-12-2,13,15
2018-5-31-12-7,13,15
2018-5-31-12-12,14,16
2018-5-31-12-17,13,16
2018-5-31-12-22,13,16
2018-5-31-12-27,13,16
2018-5-31-12-32,12,15
2018-5-31-12-37,13,15
2018-5-31-12-42,14,16
2018-5-31-12-47,14,16
2018-5-31-12-52,13,16
2018-5-31-12-57,13,16
2018-5-31-13-2,13,17
2018-5-31-13-7,13,16
2018-5-31-13-12,14,17
2018-5-31-13-17,14,17
2018-5-31-13-22,14,17
2018-5-31-13-27,14,16
2018-5-31-13-32,13,17
2018-5-31-13-37,13,17
2018-5-31-13-42,14,17
2018-5-31-13-47,15,18
2018-5-31-13-52,13,18
2018-5-31-13-57,14,17
2018-5-31-14-2,14,18
2018-5-31-14-7,14,18
2018-5-31-14-12,14,18
2018-5-31-14-17,15,19
2018-5-31-14-22,15,19
2018-5-31-14-27,15,19
2018-5-31-14-32,14,19
2018-5-31-14-37,15,18
2018-5-31-14-42,16,19
2018-5-31-14-47,17,19
2018-5-31-14-52,15,19
2018-5-31-14-57,15,19
2018-5-31-15-2,16,19
2018-5-31-15-7,16,19
2018-5-31-15-12,17,19
2018-5-31-15-17,15,19
2018-5-31-15-22,13,19
2018-5-31-15-27,14,19
2018-5-31-15-32,13,18
2018-5-31-15-37,14,17
2018-5-31-15-42,14,19
2018-5-31-15-47,14,18
2018-5-31-15-52,13,19
2018-5-31-15-57,16,19
2018-5-31-16-2,17,19
2018-5-31-16-7,15,20
2018-5-31-16-12,16,19
2018-5-31-16-17,13,17
2018-5-31-16-22,12,17
2018-5-31-16-27,13,16
