date,Avg. wind,wind gusts
2018-5-4-10-1,0,0
2018-5-4-10-6,4,6
2018-5-4-10-11,4,6
2018-5-4-10-16,5,7
2018-5-4-10-21,2,8
2018-5-4-10-26,7,8
2018-5-4-10-31,5,9
2018-5-4-10-36,0,7
2018-5-4-10-41,1,6
2018-5-4-10-46,0,0
2018-5-4-10-51,0,0
2018-5-4-10-56,0,0
2018-5-4-11-1,0,0
2018-5-4-11-6,0,0
2018-5-4-11-11,0,0
2018-5-4-11-16,0,0
2018-5-4-11-21,0,0
2018-5-4-11-26,0,0
2018-5-4-11-31,0,0
2018-5-4-11-36,0,5
2018-5-4-11-41,6,8
2018-5-4-11-46,8,10
2018-5-4-11-51,8,10
2018-5-4-11-56,8,10
2018-5-4-12-1,10,11
2018-5-4-12-6,9,11
2018-5-4-12-11,9,11
2018-5-4-12-16,10,13
2018-5-4-12-21,11,13
2018-5-4-12-26,12,15
2018-5-4-12-31,12,14
2018-5-4-12-36,11,15
2018-5-4-12-41,11,13
2018-5-4-12-46,12,14
2018-5-4-12-51,13,15
2018-5-4-12-56,12,13
2018-5-4-13-1,12,14
2018-5-4-13-6,11,13
2018-5-4-13-11,11,13
2018-5-4-13-16,12,15
2018-5-4-13-21,12,14
2018-5-4-13-26,13,14
2018-5-4-13-31,11,13
2018-5-4-13-36,12,13
2018-5-4-13-41,12,14
2018-5-4-13-46,11,15
2018-5-4-13-51,12,15
2018-5-4-13-56,11,12
2018-5-4-14-1,14,17
2018-5-4-14-6,13,15
2018-5-4-14-11,13,16
2018-5-4-14-16,12,15
2018-5-4-14-21,11,15
2018-5-4-14-26,11,15
2018-5-4-14-31,12,16
2018-5-4-14-36,11,14
2018-5-4-14-41,11,13
2018-5-4-14-46,10,16
2018-5-4-14-51,10,14
2018-5-4-14-56,11,14
2018-5-4-15-1,11,15
2018-5-4-15-6,11,14
2018-5-4-15-11,10,13
2018-5-4-15-16,11,15
2018-5-4-15-21,12,16
2018-5-4-15-26,11,14
2018-5-4-15-31,12,14
2018-5-4-15-36,11,13
2018-5-4-15-41,11,15
2018-5-4-15-46,10,13
2018-5-4-15-51,10,13
2018-5-4-15-56,11,14
2018-5-4-16-1,10,13
2018-5-4-16-6,10,14
2018-5-4-16-11,9,13
2018-5-4-16-16,8,11
2018-5-4-16-21,10,13
2018-5-4-16-26,9,12
2018-5-4-16-31,8,11
2018-5-4-16-36,7,10
2018-5-4-16-41,9,11
2018-5-4-16-46,7,11
2018-5-4-16-51,8,10
2018-5-4-16-56,7,10
2018-5-4-17-1,5,10
2018-5-4-17-6,3,9
2018-5-4-17-11,7,9
2018-5-4-17-16,5,8
2018-5-4-17-21,0,8
2018-5-4-17-26,0,6
2018-5-4-17-31,4,8
2018-5-4-17-36,3,8
2018-5-4-17-41,5,8
2018-5-4-17-46,4,10
2018-5-4-17-51,9,10
2018-5-4-17-56,5,10
2018-5-4-18-1,6,8
2018-5-4-18-6,8,11
2018-5-4-18-11,6,12
2018-5-4-18-16,3,7
2018-5-4-18-21,3,7
2018-5-4-18-26,3,8
2018-5-4-18-31,5,9
2018-5-4-18-36,3,9
2018-5-4-18-41,7,10
2018-5-4-18-46,0,7
2018-5-4-18-51,0,0
2018-5-4-18-56,0,0
