date,Avg. wind,wind gusts
2018-5-11-17-25,7,11
2018-5-11-17-30,4,9
2018-5-11-17-35,6,8
2018-5-11-17-40,7,9
2018-5-11-17-45,6,9
2018-5-11-17-50,7,9
2018-5-11-17-55,5,9
2018-5-11-18-0,5,8
2018-5-11-18-5,7,8
2018-5-11-18-10,1,8
2018-5-11-18-15,6,9
2018-5-11-18-20,7,9
2018-5-11-18-25,7,10
2018-5-11-18-30,8,10
2018-5-11-18-35,7,9
2018-5-11-18-40,5,10
2018-5-11-18-45,3,8
2018-5-11-18-50,6,7
2018-5-11-18-55,6,8
2018-5-11-19-0,6,9
2018-5-11-19-5,7,9
2018-5-11-19-10,1,8
2018-5-11-19-15,8,9
2018-5-11-19-20,7,8
2018-5-11-19-25,6,11
2018-5-11-19-30,4,9
2018-5-11-19-35,2,9
2018-5-11-19-40,3,10
2018-5-11-19-45,7,9
2018-5-11-19-50,6,9
2018-5-11-19-55,7,9
2018-5-12-10-1,9,14
2018-5-12-10-6,10,13
2018-5-12-10-11,11,15
2018-5-12-10-16,12,18
2018-5-12-10-21,13,18
2018-5-12-10-26,14,19
2018-5-12-10-31,11,17
2018-5-12-10-36,12,17
2018-5-12-10-41,12,19
2018-5-12-10-46,15,20
2018-5-12-10-51,14,20
2018-5-12-10-56,16,20
2018-5-12-11-1,15,21
2018-5-12-11-6,16,21
2018-5-12-11-11,15,19
2018-5-12-11-16,15,19
2018-5-12-11-21,13,19
2018-5-12-11-26,13,18
2018-5-12-11-31,14,17
2018-5-12-11-36,14,19
2018-5-12-11-41,15,19
2018-5-12-11-46,15,19
2018-5-12-11-51,16,20
2018-5-12-11-56,12,19
2018-5-12-12-1,14,18
2018-5-12-12-6,16,19
2018-5-12-12-11,16,19
2018-5-12-12-16,17,20
2018-5-12-12-21,14,19
2018-5-12-12-26,15,19
2018-5-12-12-31,16,21
2018-5-12-12-36,16,19
2018-5-12-12-41,16,21
2018-5-12-12-46,15,19
2018-5-12-12-51,16,21
2018-5-12-12-56,16,21
2018-5-12-13-1,16,20
2018-5-12-13-6,16,20
2018-5-12-13-11,15,19
2018-5-12-13-16,11,19
2018-5-12-13-21,15,20
2018-5-12-13-26,15,20
2018-5-12-13-31,13,17
2018-5-12-13-36,12,19
2018-5-12-13-41,14,19
2018-5-12-13-46,10,17
2018-5-12-13-51,14,24
2018-5-12-13-56,15,20
2018-5-12-14-1,12,23
2018-5-12-14-6,15,21
2018-5-12-14-11,15,19
2018-5-12-14-16,18,22
2018-5-12-14-21,11,21
2018-5-12-14-26,10,17
2018-5-12-14-31,13,19
2018-5-12-14-36,12,19
2018-5-12-14-41,14,20
2018-5-12-14-46,11,19
2018-5-12-14-51,11,17
2018-5-12-14-56,11,18
2018-5-12-15-1,12,19
2018-5-12-15-6,15,19
2018-5-12-15-11,12,19
2018-5-12-15-16,12,16
2018-5-12-15-21,15,19
2018-5-12-15-26,14,19
2018-5-12-15-31,15,21
2018-5-12-15-36,15,20
2018-5-12-15-41,17,23
2018-5-12-15-46,14,21
2018-5-12-15-51,12,19
2018-5-12-15-56,14,19
2018-5-12-16-1,12,17
2018-5-12-16-6,12,17
2018-5-12-16-11,12,17
2018-5-12-16-16,12,16
2018-5-12-16-21,11,16
2018-5-12-16-26,8,16
2018-5-12-16-31,9,15
2018-5-12-16-36,8,15
2018-5-12-16-41,12,16
2018-5-12-16-46,14,18
2018-5-12-16-51,12,16
2018-5-12-16-56,11,17
2018-5-12-17-1,9,14
2018-5-12-17-6,9,15
2018-5-12-17-11,9,13
2018-5-12-17-16,12,17
2018-5-12-17-21,10,17
