date,Avg. wind,wind gusts
2018-5-6-10-2,7,14
2018-5-6-10-7,8,20
2018-5-6-10-12,7,20
2018-5-6-10-17,14,26
2018-5-6-10-22,4,18
2018-5-6-10-27,8,19
2018-5-6-10-32,8,21
2018-5-6-10-37,11,16
2018-5-6-10-42,7,24
2018-5-6-10-47,6,19
2018-5-6-10-52,7,19
2018-5-6-10-57,10,20
2018-5-6-11-2,12,21
2018-5-6-11-7,8,18
2018-5-6-11-12,8,26
2018-5-6-11-17,9,18
2018-5-6-11-22,8,21
2018-5-6-11-27,7,19
2018-5-6-11-32,10,18
2018-5-6-11-37,8,23
2018-5-6-11-42,12,23
2018-5-6-11-47,6,22
2018-5-6-11-52,11,20
2018-5-6-11-57,9,23
2018-5-6-12-2,16,23
2018-5-6-12-7,11,28
2018-5-6-12-12,13,20
2018-5-6-12-17,13,23
2018-5-6-12-22,10,27
2018-5-6-12-27,9,19
2018-5-6-12-32,12,26
2018-5-6-12-37,11,20
2018-5-6-12-42,11,26
2018-5-6-12-47,8,18
2018-5-6-12-52,13,23
2018-5-6-12-57,12,21
2018-5-6-13-2,9,19
2018-5-6-13-7,11,21
2018-5-6-13-12,12,21
2018-5-6-13-17,13,24
2018-5-6-13-22,11,19
2018-5-6-13-27,13,21
2018-5-6-13-32,13,21
2018-5-6-13-37,16,27
2018-5-6-13-42,12,27
2018-5-6-13-47,12,21
2018-5-6-13-52,14,23
2018-5-6-13-57,15,25
2018-5-6-14-2,15,29
2018-5-6-14-7,14,22
2018-5-6-14-12,15,26
2018-5-6-14-17,18,26
2018-5-6-14-22,19,29
2018-5-6-14-27,16,29
2018-5-6-14-32,14,27
2018-5-6-14-37,18,27
2018-5-6-14-42,19,31
2018-5-6-14-47,16,24
2018-5-6-14-52,16,25
2018-5-6-14-57,13,22
2018-5-6-15-2,15,27
2018-5-6-15-7,15,26
2018-5-6-15-12,17,25
2018-5-6-15-17,17,28
2018-5-6-15-22,13,21
2018-5-6-15-27,17,28
2018-5-6-15-32,22,32
2018-5-6-15-37,19,30
2018-5-6-15-42,14,30
2018-5-6-15-47,17,30
2018-5-6-15-52,20,27
2018-5-6-15-57,16,31
2018-5-6-16-2,20,28
2018-5-6-16-7,15,28
2018-5-6-16-12,18,27
2018-5-6-16-17,15,26
2018-5-6-16-22,17,31
2018-5-6-16-27,19,28
2018-5-6-16-32,18,27
2018-5-6-16-37,17,26
2018-5-6-16-42,19,29
2018-5-6-16-47,21,28
2018-5-6-16-52,18,31
2018-5-6-16-57,14,26
2018-5-6-17-2,18,27
2018-5-6-17-7,14,28
2018-5-6-17-12,20,31
2018-5-6-17-17,14,26
2018-5-6-17-22,18,29
2018-5-6-17-27,14,22
2018-5-6-17-32,16,29
2018-5-6-17-37,13,24
2018-5-6-17-42,13,27
2018-5-6-17-47,12,21
2018-5-6-17-52,11,26
2018-5-6-17-57,11,23
2018-5-6-18-2,19,33
2018-5-6-18-7,11,23
2018-5-6-18-12,13,21
2018-5-6-18-17,9,17
2018-5-6-18-22,13,19
2018-5-6-18-27,18,31
2018-5-6-18-32,16,24
2018-5-6-18-37,15,26
2018-5-6-18-42,15,23
2018-5-6-18-47,17,28
2018-5-6-18-52,16,25
2018-5-6-18-57,15,22
