date,Avg. wind,wind gusts
2018-7-14-10-0,4,5
2018-7-14-10-5,3,4
2018-7-14-10-10,3,4
2018-7-14-10-15,3,5
2018-7-14-10-20,3,5
2018-7-14-10-25,0,4
2018-7-14-10-30,4,5
2018-7-14-10-35,5,5
2018-7-14-10-40,0,5
2018-7-14-10-45,4,7
2018-7-14-10-50,5,7
2018-7-14-10-55,5,11
2018-7-14-11-0,5,6
2018-7-14-11-5,4,6
2018-7-14-11-10,7,8
2018-7-14-11-15,9,9
2018-7-14-11-20,7,9
2018-7-14-11-25,5,9
2018-7-14-11-30,6,7
2018-7-14-11-35,6,8
2018-7-14-11-40,0,7
2018-7-14-11-45,6,7
2018-7-14-11-50,7,9
2018-7-14-11-55,5,9
2018-7-14-12-0,3,8
2018-7-14-12-5,9,11
2018-7-14-12-10,9,10
2018-7-14-12-15,7,10
2018-7-14-12-20,7,9
2018-7-14-12-25,8,11
2018-7-14-12-30,11,13
2018-7-14-12-35,9,14
2018-7-14-12-40,8,11
2018-7-14-12-45,5,10
2018-7-14-12-50,6,12
2018-7-14-12-55,9,12
2018-7-14-13-0,7,11
2018-7-14-13-5,5,10
2018-7-14-13-10,7,11
2018-7-14-13-15,8,12
2018-7-14-13-20,8,12
2018-7-14-13-25,9,12
2018-7-14-13-30,10,15
2018-7-14-13-35,10,13
2018-7-14-13-40,10,13
2018-7-14-13-45,10,14
2018-7-14-13-50,10,13
2018-7-14-13-55,10,14
2018-7-14-14-0,11,14
2018-7-14-14-5,9,14
2018-7-14-14-10,12,15
2018-7-14-14-15,12,16
2018-7-14-14-20,11,16
2018-7-14-14-25,12,14
2018-7-14-14-30,10,15
2018-7-14-14-35,11,15
2018-7-14-14-40,11,14
2018-7-14-14-45,14,17
2018-7-14-14-50,12,17
2018-7-14-14-55,14,17
2018-7-14-15-0,12,16
2018-7-14-15-5,11,17
2018-7-14-15-10,13,17
2018-7-14-15-15,12,15
2018-7-14-15-20,12,17
2018-7-14-15-25,12,18
2018-7-14-15-30,14,16
2018-7-14-15-35,12,17
2018-7-14-15-40,14,17
2018-7-14-15-45,13,17
2018-7-14-15-50,13,16
2018-7-14-15-55,13,17
2018-7-14-16-0,15,18
2018-7-14-16-5,14,18
2018-7-14-16-10,12,16
2018-7-14-16-15,13,16
2018-7-14-16-20,14,17
2018-7-14-16-25,15,18
2018-7-14-16-30,14,18
2018-7-14-16-35,13,17
2018-7-14-16-40,13,17
2018-7-14-16-45,13,19
2018-7-14-16-50,13,16
2018-7-14-16-55,14,17
2018-7-14-17-0,13,17
2018-7-14-17-5,14,17
2018-7-14-17-10,15,21
2018-7-14-17-15,15,19
2018-7-14-17-20,15,20
2018-7-14-17-25,16,20
2018-7-14-17-30,16,20
2018-7-14-17-35,17,21
2018-7-14-17-40,16,21
2018-7-14-17-45,15,20
2018-7-14-17-50,15,19
2018-7-14-17-55,17,20
2018-7-14-18-0,15,20
2018-7-14-18-5,15,19
2018-7-14-18-10,15,21
2018-7-14-18-15,17,21
2018-7-14-18-20,16,19
2018-7-14-18-25,13,19
2018-7-14-18-30,14,19
2018-7-14-18-35,14,18
2018-7-14-18-40,14,19
2018-7-14-18-45,15,18
2018-7-14-18-50,14,19
2018-7-14-18-55,16,19
2018-7-14-19-0,15,19
2018-7-14-19-5,14,19
2018-7-14-19-10,15,19
2018-7-14-19-15,14,17
2018-7-14-19-20,13,18
2018-7-14-19-25,13,18
2018-7-14-19-30,14,19
2018-7-14-19-35,13,19
2018-7-14-19-40,11,18
2018-7-14-19-45,12,16
2018-7-14-19-50,9,14
2018-7-14-19-55,9,14
