date,Avg. wind,wind gusts
2018-5-5-10-2,11,19
2018-5-5-10-7,9,17
2018-5-5-10-12,9,18
2018-5-5-10-17,10,16
2018-5-5-10-22,12,19
2018-5-5-10-27,12,18
2018-5-5-10-32,10,15
2018-5-5-10-37,10,14
2018-5-5-10-42,8,16
2018-5-5-10-47,8,16
2018-5-5-10-52,8,15
2018-5-5-10-57,8,15
2018-5-5-11-2,11,17
2018-5-5-11-7,13,18
2018-5-5-11-12,9,16
2018-5-5-11-17,12,17
2018-5-5-11-22,10,17
2018-5-5-11-27,12,19
2018-5-5-11-32,11,18
2018-5-5-11-37,11,17
2018-5-5-11-42,11,17
2018-5-5-11-47,9,17
2018-5-5-11-52,10,16
2018-5-5-11-57,10,17
2018-5-5-12-2,12,17
2018-5-5-12-7,12,20
2018-5-5-12-12,13,20
2018-5-5-12-17,16,23
2018-5-5-12-22,16,20
2018-5-5-12-27,14,20
2018-5-5-12-32,15,23
2018-5-5-12-37,11,19
2018-5-5-12-42,14,19
2018-5-5-12-47,14,20
2018-5-5-12-52,13,21
2018-5-5-12-57,13,21
2018-5-5-13-2,15,21
2018-5-5-13-7,14,20
2018-5-5-13-12,13,19
2018-5-5-13-17,13,20
2018-5-5-13-22,12,19
2018-5-5-13-27,13,19
2018-5-5-13-32,13,20
2018-5-5-13-37,13,18
2018-5-5-13-42,12,20
2018-5-5-13-47,12,18
2018-5-5-13-52,13,19
2018-5-5-13-57,13,19
2018-5-5-14-2,14,19
2018-5-5-14-7,13,20
2018-5-5-14-12,15,21
2018-5-5-14-17,14,20
2018-5-5-14-22,13,21
2018-5-5-14-27,14,21
2018-5-5-14-32,13,21
2018-5-5-14-37,14,22
2018-5-5-14-42,13,21
2018-5-5-14-47,13,20
2018-5-5-14-52,14,21
2018-5-5-14-57,10,20
2018-5-5-15-2,12,18
2018-5-5-15-7,9,19
2018-5-5-15-12,12,22
2018-5-5-15-17,12,19
2018-5-5-15-22,11,21
2018-5-5-15-27,12,20
2018-5-5-15-32,12,24
2018-5-5-15-37,15,21
2018-5-5-15-42,16,23
2018-5-5-15-47,15,22
2018-5-5-15-52,15,21
2018-5-5-15-57,15,22
2018-5-5-16-2,15,21
2018-5-5-16-7,18,22
2018-5-5-16-12,15,23
2018-5-5-16-17,16,26
2018-5-5-16-22,16,26
2018-5-5-16-27,16,22
2018-5-5-16-32,17,23
2018-5-5-16-37,15,21
2018-5-5-16-42,16,22
2018-5-5-16-47,17,22
2018-5-5-16-52,15,22
2018-5-5-16-57,15,21
2018-5-5-17-2,14,22
2018-5-5-17-7,15,21
2018-5-5-17-12,15,20
2018-5-5-17-17,15,20
2018-5-5-17-22,14,19
2018-5-5-17-27,13,19
2018-5-5-17-32,13,19
2018-5-5-17-37,13,18
2018-5-5-17-42,13,19
2018-5-5-17-47,13,19
2018-5-5-17-52,13,20
2018-5-5-17-57,12,19
2018-5-5-18-2,13,17
2018-5-5-18-7,11,17
2018-5-5-18-12,12,18
2018-5-5-18-17,14,19
2018-5-5-18-22,10,18
2018-5-5-18-27,11,15
2018-5-5-18-32,13,17
2018-5-5-18-37,11,16
2018-5-5-18-42,11,18
2018-5-5-18-47,12,18
2018-5-5-18-52,12,17
2018-5-5-18-57,12,19
