date,Avg. wind,wind gusts
2018-5-25-10-3,1,4
2018-5-25-10-8,1,4
2018-5-25-10-13,2,5
2018-5-25-10-18,0,6
2018-5-25-10-23,5,8
2018-5-25-10-28,8,9
2018-5-25-10-33,9,11
2018-5-25-10-38,7,9
2018-5-25-10-43,6,9
2018-5-25-10-48,4,8
2018-5-25-10-53,1,7
2018-5-25-10-58,4,6
2018-5-25-11-3,2,7
2018-5-25-11-8,3,7
2018-5-25-11-13,5,7
2018-5-25-11-18,0,6
2018-5-25-11-23,0,5
2018-5-25-11-28,1,6
2018-5-25-11-33,1,6
2018-5-25-11-38,5,8
2018-5-25-11-43,8,8
2018-5-25-11-48,6,8
2018-5-25-11-53,0,7
2018-5-25-11-58,9,11
2018-5-25-12-3,11,13
2018-5-25-12-8,10,13
2018-5-25-12-13,7,11
2018-5-25-12-18,1,8
2018-5-25-12-23,2,6
2018-5-25-12-28,9,11
2018-5-25-12-33,8,11
2018-5-25-12-38,8,10
2018-5-25-12-43,2,8
2018-5-25-12-48,1,8
2018-5-25-12-53,5,9
2018-5-25-12-58,2,8
2018-5-25-13-3,0,7
2018-5-25-13-8,0,0
2018-5-25-13-13,3,7
2018-5-25-13-18,2,7
2018-5-25-13-23,8,9
2018-5-25-13-28,1,1
2018-5-25-13-33,6,9
2018-5-25-13-38,6,9
2018-5-25-13-43,0,8
2018-5-25-13-48,0,8
2018-5-25-13-53,1,6
2018-5-25-13-58,1,7
2018-5-25-14-3,1,7
2018-5-25-14-8,0,6
2018-5-25-14-13,0,4
2018-5-25-14-18,0,0
2018-5-25-14-23,1,6
2018-5-25-14-28,0,5
2018-5-25-14-33,0,0
2018-5-25-14-38,0,0
2018-5-25-14-43,0,0
2018-5-25-14-48,0,1
2018-5-25-14-53,0,0
2018-5-25-14-58,0,0
2018-5-25-15-3,0,1
2018-5-25-15-8,4,7
2018-5-25-15-13,4,8
2018-5-25-15-18,3,8
2018-5-25-15-23,0,7
2018-5-25-15-28,0,1
2018-5-25-15-33,0,5
2018-5-25-15-38,0,5
2018-5-25-15-43,1,6
2018-5-25-15-48,3,6
2018-5-25-15-53,1,5
2018-5-25-15-58,1,5
2018-5-25-16-3,1,7
2018-5-25-16-8,0,7
2018-5-25-16-13,3,8
2018-5-25-16-18,2,7
2018-5-25-16-23,7,8
2018-5-25-16-28,5,9
2018-5-25-16-33,7,9
2018-5-25-16-38,6,9
2018-5-25-16-43,6,10
2018-5-25-16-48,5,9
2018-5-25-16-53,8,11
2018-5-25-16-58,5,9
2018-5-25-17-3,8,11
2018-5-25-17-8,8,10
2018-5-25-17-13,7,11
2018-5-25-17-18,8,11
2018-5-25-17-23,8,11
2018-5-25-17-28,7,12
2018-5-25-17-33,9,12
2018-5-25-17-38,8,11
2018-5-25-17-43,8,11
2018-5-25-17-48,9,12
2018-5-25-17-53,9,11
2018-5-25-17-58,6,12
2018-5-25-18-3,9,12
2018-5-25-18-8,7,13
2018-5-25-18-13,6,11
2018-5-25-18-18,4,11
2018-5-25-18-23,5,12
2018-5-25-18-28,3,9
2018-5-25-18-33,5,12
2018-5-25-18-38,5,12
2018-5-25-18-43,7,10
2018-5-25-18-48,3,10
2018-5-25-18-53,2,10
2018-5-25-18-58,4,10
2018-5-25-19-3,5,9
2018-5-25-19-8,1,7
2018-5-25-19-13,0,9
2018-5-25-19-18,2,8
2018-5-25-19-23,2,9
2018-5-25-19-28,2,10
2018-5-25-19-33,5,9
2018-5-25-19-38,7,9
2018-5-25-19-43,4,9
2018-5-25-19-48,3,8
2018-5-25-19-53,1,8
2018-5-25-19-58,1,6
