date,Avg. wind,wind gusts
2018-5-3-10-1,0,0
2018-5-3-10-6,0,0
2018-5-3-10-11,0,0
2018-5-3-10-16,0,0
2018-5-3-10-21,0,0
2018-5-3-10-26,1,5
2018-5-3-10-31,3,8
2018-5-3-10-36,5,9
2018-5-3-10-41,4,9
2018-5-3-10-46,7,9
2018-5-3-10-51,7,8
2018-5-3-10-56,1,7
2018-5-3-11-1,0,6
2018-5-3-11-6,3,7
2018-5-3-11-11,2,7
2018-5-3-11-16,4,7
2018-5-3-11-21,6,8
2018-5-3-11-26,5,8
2018-5-3-11-31,6,7
2018-5-3-11-36,6,9
2018-5-3-11-41,3,9
2018-5-3-11-46,5,9
2018-5-3-11-51,4,8
2018-5-3-11-56,5,6
2018-5-3-12-1,6,9
2018-5-3-12-6,8,9
2018-5-3-12-11,8,9
2018-5-3-12-16,7,9
2018-5-3-12-21,8,10
2018-5-3-12-26,7,10
2018-5-3-12-31,8,10
2018-5-3-12-36,8,10
2018-5-3-12-41,7,10
2018-5-3-12-46,9,11
2018-5-3-12-51,10,11
2018-5-3-12-56,10,12
2018-5-3-13-1,10,13
2018-5-3-13-6,10,12
2018-5-3-13-11,10,13
2018-5-3-13-16,9,13
2018-5-3-13-21,9,13
2018-5-3-13-26,10,13
2018-5-3-13-31,10,12
2018-5-3-13-36,11,13
2018-5-3-13-41,11,14
2018-5-3-13-46,12,15
2018-5-3-13-51,12,15
2018-5-3-13-56,11,14
2018-5-3-14-1,12,16
2018-5-3-14-6,12,15
2018-5-3-14-11,13,15
2018-5-3-14-16,13,15
2018-5-3-14-21,11,15
2018-5-3-14-26,12,15
2018-5-3-14-31,13,16
2018-5-3-14-36,14,18
2018-5-3-14-41,13,18
2018-5-3-14-46,15,19
2018-5-3-14-51,16,19
2018-5-3-14-56,14,19
2018-5-3-15-1,14,16
2018-5-3-15-6,15,19
2018-5-3-15-11,15,19
2018-5-3-15-16,16,20
2018-5-3-15-21,16,20
2018-5-3-15-26,15,20
2018-5-3-15-31,15,19
2018-5-3-15-36,17,19
2018-5-3-15-41,16,19
2018-5-3-15-46,17,21
2018-5-3-15-51,18,21
2018-5-3-15-56,17,21
2018-5-3-16-1,17,21
2018-5-3-16-6,16,19
2018-5-3-16-11,19,22
2018-5-3-16-16,17,22
2018-5-3-16-21,19,22
2018-5-3-16-26,17,22
2018-5-3-16-31,16,20
2018-5-3-16-36,16,20
2018-5-3-16-41,15,19
2018-5-3-16-46,14,19
2018-5-3-16-51,16,19
2018-5-3-16-56,16,20
2018-5-3-17-1,17,19
2018-5-3-17-6,17,20
2018-5-3-17-11,17,21
2018-5-3-17-16,18,21
2018-5-3-17-21,18,20
2018-5-3-17-26,13,19
2018-5-3-17-31,13,19
2018-5-3-17-36,15,19
2018-5-3-17-41,13,19
2018-5-3-17-46,12,19
2018-5-3-17-51,10,17
2018-5-3-17-56,10,18
2018-5-3-18-1,12,17
2018-5-3-18-6,11,16
2018-5-3-18-11,12,18
2018-5-3-18-16,9,15
2018-5-3-18-21,8,14
2018-5-3-18-26,6,13
2018-5-3-18-31,8,14
2018-5-3-18-36,12,17
2018-5-3-18-41,11,18
2018-5-3-18-46,4,13
2018-5-3-18-51,7,12
2018-5-3-18-56,6,16
