date,Avg. wind,wind gusts
2018-5-2-10-0,0,0
2018-5-2-10-5,0,1
2018-5-2-10-10,0,0
2018-5-2-10-15,0,0
2018-5-2-10-20,0,6
2018-5-2-10-25,0,5
2018-5-2-10-30,0,1
2018-5-2-10-35,6,9
2018-5-2-10-40,1,7
2018-5-2-10-45,0,8
2018-5-2-10-50,3,7
2018-5-2-10-55,3,8
2018-5-2-11-0,5,8
2018-5-2-11-5,2,7
2018-5-2-11-10,6,9
2018-5-2-11-15,3,9
2018-5-2-11-20,6,11
2018-5-2-11-25,5,10
2018-5-2-11-30,5,10
2018-5-2-11-35,7,10
2018-5-2-11-40,6,12
2018-5-2-11-45,7,10
2018-5-2-11-50,5,9
2018-5-2-11-55,7,11
2018-5-2-12-0,7,10
2018-5-2-12-5,6,11
2018-5-2-12-10,9,11
2018-5-2-12-15,9,12
2018-5-2-12-20,9,13
2018-5-2-12-25,8,13
2018-5-2-12-30,9,13
2018-5-2-12-35,10,13
2018-5-2-12-40,10,13
2018-5-2-12-45,11,13
2018-5-2-12-50,9,14
2018-5-2-12-55,10,15
2018-5-2-13-0,10,14
2018-5-2-13-5,9,14
2018-5-2-13-10,9,13
2018-5-2-13-15,12,13
2018-5-2-13-20,10,14
2018-5-2-13-25,10,14
2018-5-2-13-30,10,14
2018-5-2-13-35,12,15
2018-5-2-13-40,11,16
2018-5-2-13-45,12,17
2018-5-2-13-50,13,18
2018-5-2-13-55,11,16
2018-5-2-14-0,14,18
2018-5-2-14-5,13,15
2018-5-2-14-10,12,15
2018-5-2-14-15,13,18
2018-5-2-14-20,13,16
2018-5-2-14-25,12,17
2018-5-2-14-30,12,17
2018-5-2-14-35,11,16
2018-5-2-14-40,12,15
2018-5-2-14-45,12,16
2018-5-2-14-50,11,16
2018-5-2-14-55,11,16
2018-5-2-15-0,9,14
2018-5-2-15-5,12,15
2018-5-2-15-10,12,16
2018-5-2-15-15,12,17
2018-5-2-15-20,11,16
2018-5-2-15-25,11,16
2018-5-2-15-30,11,16
2018-5-2-15-35,13,18
2018-5-2-15-40,12,17
2018-5-2-15-45,13,18
2018-5-2-15-50,12,18
2018-5-2-15-55,14,17
2018-5-2-16-0,12,17
2018-5-2-16-5,12,18
2018-5-2-16-10,13,18
2018-5-2-16-15,15,18
2018-5-2-16-20,13,18
2018-5-2-16-25,14,19
2018-5-2-16-30,14,18
2018-5-2-16-35,13,19
2018-5-2-16-40,14,19
2018-5-2-16-45,14,19
2018-5-2-16-50,12,17
2018-5-2-16-55,15,18
2018-5-2-17-0,13,17
2018-5-2-17-5,13,17
2018-5-2-17-10,14,17
2018-5-2-17-15,14,19
2018-5-2-17-20,13,19
2018-5-2-17-25,13,18
2018-5-2-17-30,12,17
2018-5-2-17-35,13,18
2018-5-2-17-40,12,17
2018-5-2-17-45,12,16
2018-5-2-17-50,10,15
2018-5-2-17-55,11,15
2018-5-2-18-0,10,15
2018-5-2-18-5,11,13
2018-5-2-18-10,14,16
2018-5-2-18-15,12,16
2018-5-2-18-20,9,16
2018-5-2-18-25,7,14
2018-5-2-18-30,10,14
2018-5-2-18-35,8,13
2018-5-2-18-40,9,14
2018-5-2-18-45,9,14
2018-5-2-18-50,9,14
2018-5-2-18-55,9,13
