date,Avg. wind,wind gusts
2018-7-7-14-29,16,25
2018-7-7-14-34,12,25
2018-7-7-14-39,16,19
2018-7-7-14-44,11,20
2018-7-7-14-49,12,21
2018-7-7-14-54,14,24
2018-7-7-14-59,14,20
2018-7-7-15-4,14,20
2018-7-7-15-9,15,22
2018-7-7-15-14,16,26
2018-7-7-15-19,15,22
2018-7-7-15-24,17,22
2018-7-7-15-29,14,21
2018-7-7-15-34,12,19
2018-7-7-15-39,13,19
2018-7-7-15-44,16,20
2018-7-7-15-49,16,22
2018-7-7-15-54,13,21
2018-7-7-15-59,18,25
2018-7-7-16-4,16,23
2018-7-7-16-9,13,19
2018-7-7-16-14,15,22
2018-7-7-16-19,15,24
2018-7-7-16-24,12,23
2018-7-7-16-29,15,20
2018-7-7-16-34,14,22
2018-7-7-16-39,16,19
2018-7-7-16-44,17,25
2018-7-7-16-49,16,24
2018-7-7-16-54,16,21
2018-7-7-16-59,15,21
2018-7-7-17-4,16,19
2018-7-7-17-9,13,19
2018-7-7-17-14,17,20
2018-7-7-17-19,14,20
2018-7-7-17-24,13,20
2018-7-7-17-29,13,19
2018-7-7-17-34,14,21
2018-7-7-17-39,13,20
2018-7-7-17-44,12,20
2018-7-7-17-49,13,21
2018-7-7-17-54,14,19
2018-7-7-17-59,12,18
2018-7-7-18-4,13,18
2018-7-7-18-9,12,19
2018-7-7-18-14,11,15
2018-7-7-18-19,13,20
2018-7-7-18-24,15,18
2018-7-7-18-29,11,18
2018-7-7-18-34,13,20
2018-7-7-18-39,13,19
2018-7-7-18-44,15,20
2018-7-7-18-49,17,22
2018-7-7-18-54,13,19
2018-7-7-18-59,15,23
2018-7-7-19-4,17,23
2018-7-7-19-9,14,20
2018-7-7-19-14,17,22
2018-7-7-19-19,15,23
2018-7-7-19-24,17,26
2018-7-7-19-29,16,23
2018-7-7-19-34,15,22
2018-7-7-19-39,17,21
2018-7-7-19-44,16,23
2018-7-7-19-49,16,23
2018-7-7-19-54,16,23
2018-7-7-19-59,14,20
2018-7-8-10-4,12,19
2018-7-8-10-9,11,18
2018-7-8-10-14,11,19
2018-7-8-10-19,12,19
2018-7-8-10-24,11,19
2018-7-8-10-29,14,20
2018-7-8-10-34,9,18
2018-7-8-10-39,11,18
2018-7-8-10-44,10,19
2018-7-8-10-49,10,16
2018-7-8-10-54,12,19
2018-7-8-10-59,10,16
2018-7-8-11-4,11,17
2018-7-8-11-9,11,16
2018-7-8-11-14,10,18
2018-7-8-11-19,10,18
2018-7-8-11-24,11,15
2018-7-8-11-29,9,15
2018-7-8-11-34,9,15
2018-7-8-11-39,9,14
2018-7-8-11-44,9,15
2018-7-8-11-49,6,15
2018-7-8-11-54,8,16
2018-7-8-11-59,8,11
2018-7-8-12-4,4,12
2018-7-8-12-9,6,6
2018-7-8-12-14,10,15
2018-7-8-12-19,9,13
2018-7-8-12-24,10,13
2018-7-8-12-29,10,13
2018-7-8-12-34,9,17
2018-7-8-12-39,12,19
2018-7-8-12-44,12,19
2018-7-8-12-49,9,17
2018-7-8-12-54,10,18
2018-7-8-12-59,11,19
2018-7-8-13-4,11,19
2018-7-8-13-9,7,17
2018-7-8-13-14,7,17
2018-7-8-13-19,8,14
2018-7-8-13-24,11,18
2018-7-8-13-29,11,18
2018-7-8-13-34,8,19
2018-7-8-13-39,10,18
2018-7-8-13-44,8,16
2018-7-8-13-49,10,16
2018-7-8-13-54,10,19
2018-7-8-13-59,11,18
2018-7-8-14-4,10,18
2018-7-8-14-9,12,14
2018-7-8-14-14,12,19
