date,Avg. wind,wind gusts
2018-5-28-10-2,4,7
2018-5-28-10-7,6,7
2018-5-28-10-12,2,7
2018-5-28-10-17,6,8
2018-5-28-10-22,3,8
2018-5-28-10-27,7,10
2018-5-28-10-32,4,8
2018-5-28-10-37,5,10
2018-5-28-10-42,4,11
2018-5-28-10-47,0,5
2018-5-28-10-52,5,9
2018-5-28-10-57,5,10
2018-5-28-11-2,7,10
2018-5-28-11-7,6,9
2018-5-28-11-12,1,9
2018-5-28-11-17,5,8
2018-5-28-11-22,6,9
2018-5-28-11-27,1,8
2018-5-28-11-32,1,5
2018-5-28-11-37,5,7
2018-5-28-11-42,3,9
2018-5-28-11-47,5,10
2018-5-28-11-52,3,10
2018-5-28-11-57,7,9
2018-5-28-12-2,0,6
2018-5-28-12-7,0,7
2018-5-28-12-12,3,7
2018-5-28-12-17,8,10
2018-5-28-12-22,7,12
2018-5-28-12-27,3,11
2018-5-28-12-32,0,7
2018-5-28-12-37,0,0
2018-5-28-12-42,0,6
2018-5-28-12-47,0,0
2018-5-28-12-52,5,7
2018-5-28-12-57,5,12
2018-5-28-13-2,1,12
2018-5-28-13-7,0,10
2018-5-28-13-12,0,1
2018-5-28-13-17,0,0
2018-5-28-13-22,0,6
2018-5-28-13-27,8,10
2018-5-28-13-32,0,10
2018-5-28-13-37,5,9
2018-5-28-13-42,0,7
2018-5-28-13-47,7,11
2018-5-28-13-52,1,11
2018-5-28-13-57,7,9
2018-5-28-14-2,2,10
2018-5-28-14-7,5,11
2018-5-28-14-12,5,10
2018-5-28-14-17,0,10
2018-5-28-14-22,1,9
2018-5-28-14-27,6,10
2018-5-28-14-32,7,10
2018-5-28-14-37,6,10
2018-5-28-14-42,3,9
2018-5-28-14-47,1,8
2018-5-28-14-52,6,12
2018-5-28-14-57,1,7
2018-5-28-15-2,1,10
2018-5-28-15-7,8,9
2018-5-28-15-12,8,10
2018-5-28-15-17,5,10
2018-5-28-15-22,7,11
2018-5-28-15-27,0,11
2018-5-28-15-32,2,10
2018-5-28-15-37,3,10
2018-5-28-15-42,4,10
2018-5-28-15-47,2,10
2018-5-28-15-52,7,17
2018-5-28-15-57,5,12
2018-5-28-16-2,4,11
2018-5-28-16-7,4,10
2018-5-28-16-12,6,12
2018-5-28-16-17,8,11
2018-5-28-16-22,8,13
2018-5-28-16-27,3,14
2018-5-28-16-32,8,14
2018-5-28-16-37,6,14
2018-5-28-16-42,8,18
2018-5-28-16-47,12,15
2018-5-28-16-52,11,14
2018-5-28-16-57,10,15
2018-5-28-17-2,12,15
2018-5-28-17-7,11,15
2018-5-28-17-12,10,15
2018-5-28-17-17,9,14
2018-5-28-17-22,11,14
2018-5-28-17-27,10,13
2018-5-28-17-32,9,13
2018-5-28-17-37,9,13
2018-5-28-17-43,9,14
2018-5-28-17-48,10,13
2018-5-28-17-53,7,11
2018-5-28-17-58,8,13
2018-5-28-18-3,7,11
2018-5-28-18-8,3,14
2018-5-28-18-13,9,13
2018-5-28-18-18,6,10
2018-5-28-18-23,9,11
2018-5-28-18-28,8,10
2018-5-28-18-33,9,13
2018-5-28-18-38,8,12
2018-5-28-18-43,9,12
2018-5-28-18-48,6,14
2018-5-28-18-53,11,14
2018-5-28-18-58,12,15
2018-5-28-19-3,12,15
2018-5-28-19-8,11,15
2018-5-28-19-13,13,16
2018-5-28-19-18,11,16
2018-5-28-19-23,11,15
2018-5-28-19-28,10,14
2018-5-28-19-33,9,14
2018-5-28-19-38,7,12
2018-5-28-19-43,8,12
2018-5-28-19-48,7,12
2018-5-28-19-53,12,16
2018-5-28-19-58,10,13
