date,Avg. wind,wind gusts
2018-5-8-10-3,2,9
2018-5-8-10-8,4,8
2018-5-8-10-13,8,10
2018-5-8-10-18,8,9
2018-5-8-10-23,7,11
2018-5-8-10-28,1,9
2018-5-8-10-33,0,6
2018-5-8-10-38,5,6
2018-5-8-10-43,3,6
2018-5-8-10-48,0,0
2018-5-8-10-53,1,5
2018-5-8-10-58,1,6
2018-5-8-11-3,5,7
2018-5-8-11-8,5,7
2018-5-8-11-13,5,8
2018-5-8-11-18,7,9
2018-5-8-11-23,10,12
2018-5-8-11-28,11,13
2018-5-8-11-33,12,14
2018-5-8-11-38,11,13
2018-5-8-11-43,11,13
2018-5-8-11-48,11,13
2018-5-8-11-53,12,14
2018-5-8-11-58,12,14
2018-5-8-12-3,11,13
2018-5-8-12-8,12,13
2018-5-8-12-13,12,14
2018-5-8-12-18,12,13
2018-5-8-12-23,12,14
2018-5-8-12-28,12,14
2018-5-8-12-33,12,14
2018-5-8-12-38,12,13
2018-5-8-12-43,12,13
2018-5-8-12-48,11,13
2018-5-8-12-53,11,13
2018-5-8-12-58,11,13
2018-5-8-13-3,12,13
2018-5-8-13-8,11,13
2018-5-8-13-13,11,14
2018-5-8-13-18,11,14
2018-5-8-13-23,13,15
2018-5-8-13-28,12,15
2018-5-8-13-33,11,14
2018-5-8-13-38,11,13
2018-5-8-13-43,11,13
2018-5-8-13-48,12,15
2018-5-8-13-53,11,16
2018-5-8-13-58,10,13
2018-5-8-14-3,11,14
2018-5-8-14-8,9,14
2018-5-8-14-13,10,13
2018-5-8-14-18,9,12
2018-5-8-14-23,9,12
2018-5-8-14-28,10,14
2018-5-8-14-33,10,14
2018-5-8-14-38,9,14
2018-5-8-14-43,9,12
2018-5-8-14-48,10,15
2018-5-8-14-53,10,15
2018-5-8-14-58,12,15
2018-5-8-15-3,8,11
2018-5-8-15-8,8,14
2018-5-8-15-13,7,11
2018-5-8-15-18,6,11
2018-5-8-15-23,8,11
2018-5-8-15-28,9,13
2018-5-8-15-33,10,12
2018-5-8-15-38,9,13
2018-5-8-15-43,9,12
2018-5-8-15-48,7,12
2018-5-8-15-53,11,15
2018-5-8-15-58,9,12
2018-5-8-16-3,3,11
2018-5-8-16-8,8,13
2018-5-8-16-13,9,12
2018-5-8-16-18,11,15
2018-5-8-16-23,10,14
2018-5-8-16-28,11,14
2018-5-8-16-33,11,13
2018-5-8-16-38,13,17
2018-5-8-16-43,12,17
2018-5-8-16-48,12,17
2018-5-8-16-54,13,18
2018-5-8-16-59,13,19
2018-5-8-17-4,15,20
2018-5-8-17-9,12,17
2018-5-8-17-14,13,17
2018-5-8-17-19,14,17
2018-5-8-17-24,12,16
2018-5-8-17-29,11,16
2018-5-8-17-34,13,16
2018-5-8-17-39,14,18
2018-5-8-17-44,11,16
2018-5-8-17-49,13,19
2018-5-8-17-54,15,19
2018-5-8-17-59,16,19
2018-5-8-18-4,13,18
2018-5-8-18-9,14,19
2018-5-8-18-14,14,19
2018-5-8-18-19,11,17
2018-5-8-18-24,10,15
2018-5-8-18-29,9,14
2018-5-8-18-34,2,11
2018-5-8-18-39,3,10
2018-5-8-18-44,9,13
2018-5-8-18-49,10,13
2018-5-8-18-54,8,13
2018-5-8-18-59,12,15
