date,Avg. wind,wind gusts
2018-7-9-10-2,7,12
2018-7-9-10-7,9,13
2018-7-9-10-12,5,11
2018-7-9-10-17,5,14
2018-7-9-10-22,6,14
2018-7-9-10-27,7,15
2018-7-9-10-32,7,14
2018-7-9-10-37,4,11
2018-7-9-10-42,6,9
2018-7-9-10-47,4,9
2018-7-9-10-52,6,10
2018-7-9-10-57,7,11
2018-7-9-11-2,6,11
2018-7-9-11-7,7,11
2018-7-9-11-12,7,13
2018-7-9-11-17,6,11
2018-7-9-11-22,6,11
2018-7-9-11-27,5,10
2018-7-9-11-32,11,11
2018-7-9-11-37,6,11
2018-7-9-11-42,8,8
2018-7-9-11-47,8,
2018-7-9-11-57,6,11
2018-7-9-12-2,6,9
2018-7-9-12-7,6,9
2018-7-9-12-12,7,10
2018-7-9-12-17,4,10
2018-7-9-12-22,6,12
2018-7-9-12-27,7,11
2018-7-9-12-32,5,10
2018-7-9-12-37,6,10
2018-7-9-12-42,6,12
2018-7-9-12-47,5,11
2018-7-9-12-52,6,10
2018-7-9-12-57,4,10
2018-7-9-13-2,6,11
2018-7-9-13-7,6,13
2018-7-9-13-12,4,13
2018-7-9-13-17,6,10
2018-7-9-13-22,7,11
2018-7-9-13-27,5,12
2018-7-9-13-32,6,12
2018-7-9-13-37,6,12
2018-7-9-13-42,7,13
2018-7-9-13-47,8,14
2018-7-9-13-52,7,12
2018-7-9-13-57,6,11
2018-7-9-14-2,7,11
2018-7-9-14-7,8,13
2018-7-9-14-12,8,14
2018-7-9-14-17,5,15
2018-7-9-14-22,6,11
2018-7-9-14-27,6,11
2018-7-9-14-32,6,12
2018-7-9-14-37,5,12
2018-7-9-14-42,5,11
2018-7-9-14-47,5,10
2018-7-9-14-52,6,10
2018-7-9-14-57,7,15
2018-7-9-15-2,6,12
2018-7-9-15-7,7,11
2018-7-9-15-12,8,13
2018-7-9-15-17,10,16
2018-7-9-15-22,9,14
2018-7-9-15-27,8,14
2018-7-9-15-32,9,15
2018-7-9-15-37,9,14
2018-7-9-15-42,8,15
2018-7-9-15-47,8,16
2018-7-9-15-52,7,14
2018-7-9-15-57,10,15
2018-7-9-16-2,8,14
2018-7-9-16-7,8,15
2018-7-9-16-12,7,17
2018-7-9-16-17,7,15
2018-7-9-16-22,10,16
2018-7-9-16-27,9,15
2018-7-9-16-32,9,14
2018-7-9-16-37,7,13
2018-7-9-16-42,7,14
2018-7-9-16-47,9,12
2018-7-9-16-52,11,17
2018-7-9-16-57,9,15
2018-7-9-17-2,12,17
2018-7-9-17-7,11,17
2018-7-9-17-12,7,16
2018-7-9-17-17,8,17
2018-7-9-17-22,8,13
2018-7-9-17-27,7,12
2018-7-9-17-32,7,12
2018-7-9-17-37,9,15
2018-7-9-17-42,7,13
2018-7-9-17-47,8,12
2018-7-9-17-52,9,15
2018-7-9-17-57,7,14
2018-7-9-18-2,7,14
2018-7-9-18-7,8,13
2018-7-9-18-12,9,13
2018-7-9-18-17,8,12
2018-7-9-18-22,6,12
2018-7-9-18-27,8,13
2018-7-9-18-32,7,12
2018-7-9-18-37,6,15
2018-7-9-18-42,4,11
2018-7-9-18-47,6,11
2018-7-9-18-52,5,15
2018-7-9-18-57,5,9
2018-7-9-19-2,8,12
2018-7-9-19-7,7,13
2018-7-9-19-12,7,11
2018-7-9-19-17,8,12
2018-7-9-19-22,7,13
2018-7-9-19-27,7,11
2018-7-9-19-32,7,9
2018-7-9-19-37,9,13
2018-7-9-19-42,6,10
2018-7-9-19-47,6,12
2018-7-9-19-52,7,11
2018-7-9-19-57,3,11
